pathway_id	pathway_name	category
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	Super-Pathways
PWY-5305	bixin biosynthesis	Biosynthesis
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	Degradation
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	Super-Pathways
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	Energy-Metabolism
PWY-5307	gentiodelphin biosynthesis	Biosynthesis
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	Degradation
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	Super-Pathways
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	Energy-Metabolism
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)	Super-Pathways
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)	Biosynthesis
PWY-5311	L-lysine degradation VII	Degradation
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	Super-Pathways
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	Biosynthesis
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	Super-Pathways
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	Biosynthesis
PWY-5314	L-lysine degradation VIII	Degradation
PWY-5315	1-methylpyrrolinium biosynthesis	Biosynthesis
PWY-5316	nicotine biosynthesis	Biosynthesis
PWY-5317	tropane alkaloids biosynthesis	Biosynthesis
PWY-5318	calystegine biosynthesis	Biosynthesis
PWY-5319	coumarin metabolism (to melilotic acid)	Degradation
PWY-5319	coumarin metabolism (to melilotic acid)	Biosynthesis
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)	Biosynthesis
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)	Biosynthesis
PWY-5324	L-lysine degradation IX	Degradation
PWY-5326	sulfite oxidation IV (sulfite oxidase)	Degradation
PWY-5327	superpathway of L-lysine degradation	Degradation
PWY-5327	superpathway of L-lysine degradation	Super-Pathways
PWY-5328	superpathway of L-methionine salvage and degradation	Degradation
PWY-5328	superpathway of L-methionine salvage and degradation	Super-Pathways
PWY-5329	L-cysteine degradation III	Degradation
PWY-5331	taurine biosynthesis I	Biosynthesis
PWY-5332	sulfur reduction I	Degradation
PWY-5335	superpathway of sulfide oxidation (Starkeya novella)	Degradation
PWY-5335	superpathway of sulfide oxidation (Starkeya novella)	Super-Pathways
PWY-5336	carbon disulfide oxidation II (aerobic)	Degradation
PWY-5337	stachyose biosynthesis	Glycan-Pathways
PWY-5337	stachyose biosynthesis	Biosynthesis
PWY-5338	galactosylcyclitol biosynthesis	Biosynthesis
PWY-5339	chalcone 2'-O-glucoside biosynthesis	Biosynthesis
PWY-5340	sulfate activation for sulfonation	Degradation
PWY-5340	sulfate activation for sulfonation	Activation-Inactivation-Interconversion
PWY-5342	ajugose biosynthesis I (galactinol-dependent)	Glycan-Pathways
PWY-5342	ajugose biosynthesis I (galactinol-dependent)	Biosynthesis
PWY-5343	ajugose biosynthesis II (galactinol-independent)	Glycan-Pathways
PWY-5343	ajugose biosynthesis II (galactinol-independent)	Biosynthesis
PWY-5344	L-homocysteine biosynthesis	Biosynthesis
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Super-Pathways
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Biosynthesis
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Super-Pathways
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Biosynthesis
PWY-5348	kaempferol triglucoside biosynthesis	Biosynthesis
PWY-5349	esculetin biosynthesis	Biosynthesis
PWY-5350	thiosulfate disproportionation IV (rhodanese)	Degradation
PWY-5352	thiosulfate disproportionation II (cytochrome)	Degradation
PWY-5352	thiosulfate disproportionation II (cytochrome)	Energy-Metabolism
PWY-5353	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	Biosynthesis
PWY-5355	nitroethane degradation	Degradation
PWY-5358	tetrathionate reduction I (to thiosulfate)	Degradation
PWY-5358	tetrathionate reduction I (to thiosulfate)	Energy-Metabolism
PWY-5359	tetrathionate reductiuon II (to trithionate)	Degradation
PWY-5360	superpathway of tetrathionate reduction (Salmonella typhimurium)	Degradation
PWY-5360	superpathway of tetrathionate reduction (Salmonella typhimurium)	Super-Pathways
PWY-5361	(5Z)-icosenoate biosynthesis	Biosynthesis
PWY-5362	sapienate biosynthesis	Biosynthesis
PWY-5363	chrysin biosynthesis	Biosynthesis
PWY-5364	sulfur reduction II (via polysulfide)	Degradation
PWY-5365	linear furanocoumarin biosynthesis	Biosynthesis
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)	Biosynthesis
PWY-5367	petroselinate biosynthesis	Biosynthesis
PWY-5368	dimorphecolate biosynthesis	Biosynthesis
PWY-5370	carbon tetrachloride degradation I	Degradation
PWY-5372	carbon tetrachloride degradation II	Degradation
PWY-5373	calendate biosynthesis	Biosynthesis
PWY-5374	punicate biosynthesis	Biosynthesis
PWY-5375	&alpha;-eleostearate biosynthesis	Biosynthesis
PWY-5377	&alpha;-amyrin biosynthesis	Biosynthesis
PWY-5379	B series fagopyritols biosynthesis	Degradation
PWY-5379	B series fagopyritols biosynthesis	Biosynthesis
PWY-5380	A series fagopyritols biosynthesis	Degradation
PWY-5380	A series fagopyritols biosynthesis	Biosynthesis
PWY-5381	NAD salvage (plants)	Biosynthesis
PWY-5382	hydrogen oxidation II (aerobic, NAD)	Energy-Metabolism
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	Degradation
PWY-5386	methylglyoxal degradation I	Detoxification
PWY-5386-1	methylglyoxal degradation VIII	Degradation
PWY-5386-1	methylglyoxal degradation VIII	Detoxification
PWY-5388	N-glucosylnicotinate metabolism	Biosynthesis
PWY-5389	3-methylthiopropanoate biosynthesis	Biosynthesis
PWY-5390	rutin biosynthesis	Biosynthesis
PWY-5391	syringetin biosynthesis	Biosynthesis
PWY-5392	reductive TCA cycle II	Degradation
PWY-5393	raspberry ketone biosynthesis	Biosynthesis
PWY-5394	betalamic acid biosynthesis	Biosynthesis
PWY-5397	crocetin biosynthesis	Biosynthesis
PWY-5398	crocetin esters biosynthesis	Biosynthesis
PWY-5399	betacyanin biosynthesis	Biosynthesis
PWY-5400	amaranthin biosynthesis	Biosynthesis
PWY-5403	betaxanthin biosynthesis (via dopamine)	Biosynthesis
PWY-5404	betaxanthin biosynthesis (via dopaxanthin)	Biosynthesis
PWY-5405	superpathway of betalain biosynthesis	Super-Pathways
PWY-5405	superpathway of betalain biosynthesis	Biosynthesis
PWY-5406	divinyl ether biosynthesis I	Metabolic-Clusters
PWY-5406	divinyl ether biosynthesis I	Biosynthesis
PWY-5407	9-lipoxygenase and 9-allene oxide synthase pathway	Biosynthesis
PWY-5408	9-lipoxygenase and 9-hydroperoxide lyase pathway	Biosynthesis
PWY-5409	divinyl ether biosynthesis II	Biosynthesis
PWY-5410	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis	Biosynthesis
PWY-5411	abietic acid biosynthesis	Biosynthesis
PWY-5412	levopimaric acid biosynthesis	Biosynthesis
PWY-5413	neoabietic acid biosynthesis	Biosynthesis
PWY-5414	palustric acid biosynthesis	Biosynthesis
PWY-5415	catechol degradation I (meta-cleavage pathway)	Degradation
PWY-5415	catechol degradation I (meta-cleavage pathway)	Super-Pathways
PWY-5416	superpathway of diterpene resin acids biosynthesis	Super-Pathways
PWY-5416	superpathway of diterpene resin acids biosynthesis	Biosynthesis
PWY-5417	catechol degradation III (ortho-cleavage pathway)	Degradation
PWY-5417	catechol degradation III (ortho-cleavage pathway)	Super-Pathways
PWY-5418	phenol degradation I (aerobic)	Degradation
PWY-5419	catechol degradation to 2-hydroxypentadienoate II	Degradation
PWY-5420	catechol degradation II (meta-cleavage pathway)	Degradation
PWY-5420	catechol degradation II (meta-cleavage pathway)	Super-Pathways
PWY-5421	dehydroabietic acid biosynthesis	Biosynthesis
PWY-5422	isopimaric acid biosynthesis	Biosynthesis
PWY-5423	oleoresin monoterpene volatiles biosynthesis	Biosynthesis
PWY-5424	superpathway of oleoresin turpentine biosynthesis	Super-Pathways
PWY-5424	superpathway of oleoresin turpentine biosynthesis	Biosynthesis
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis	Biosynthesis
PWY-5426	betaxanthin biosynthesis	Biosynthesis
PWY-5427	naphthalene degradation (aerobic)	Degradation
PWY-5428	1,3-dimethylbenzene degradation to 3-methylbenzoate	Degradation
PWY-5429	1,4-dimethylbenzene degradation to 4-methylbenzoate	Degradation
PWY-5430	meta cleavage pathway of aromatic compounds	Degradation
PWY-5430	meta cleavage pathway of aromatic compounds	Super-Pathways
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	Degradation
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	Super-Pathways
PWY-5433	superpathway of lipoxygenase	Super-Pathways
PWY-5433	superpathway of lipoxygenase	Biosynthesis
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I	Biosynthesis
PWY-5436	L-threonine degradation IV	Degradation
PWY-5437	L-threonine degradation I	Degradation
PWY-5439	betacyanin biosynthesis (via dopamine)	Biosynthesis
PWY-5441	S-methyl-L-methionine cycle	Activation-Inactivation-Interconversion
PWY-5443	aminopropanol phosphate biosynthesis I	Biosynthesis
PWY-5450	benzene degradation I (aerobic)	Degradation
PWY-5451	acetone degradation I (to methylglyoxal)	Degradation
PWY-5453	methylglyoxal degradation III	Detoxification
PWY-5456	methylglyoxal degradation VII	Detoxification
PWY-5458	methylglyoxal degradation V	Detoxification
PWY-5459	methylglyoxal degradation IV	Super-Pathways
PWY-5459	methylglyoxal degradation IV	Detoxification
PWY-5461	betanidin degradation	Degradation
PWY-5462	methylglyoxal degradation II	Detoxification
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	Super-Pathways
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	Energy-Metabolism
PWY-5466	matairesinol biosynthesis	Biosynthesis
PWY-5467	gramine biosynthesis	Biosynthesis
PWY-5468	lupanine biosynthesis	Biosynthesis
PWY-5469	sesamin biosynthesis	Biosynthesis
PWY-5470	palmatine biosynthesis	Biosynthesis
PWY-5472	bisbenzylisoquinoline alkaloid biosynthesis	Biosynthesis
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis	Biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis	Biosynthesis
PWY-5475	pentagalloylglucose biosynthesis	Biosynthesis
PWY-5476	cornusiin E biosynthesis	Biosynthesis
PWY-5477	gallotannin biosynthesis	Biosynthesis
PWY-5478	superpathway of hydrolyzable tannin biosynthesis	Super-Pathways
PWY-5478	superpathway of hydrolyzable tannin biosynthesis	Biosynthesis
PWY-5479	6-methoxypodophyllotoxin biosynthesis	Biosynthesis
PWY-5480	pyruvate fermentation to ethanol I	Energy-Metabolism
PWY-5481	pyruvate fermentation to (S)-lactate	Energy-Metabolism
PWY-5482	pyruvate fermentation to acetate II	Degradation
PWY-5483	pyruvate fermentation to acetate III	Degradation
PWY-5483	pyruvate fermentation to acetate III	Super-Pathways
PWY-5484	glycolysis II (from fructose 6-phosphate)	Energy-Metabolism
PWY-5485	pyruvate fermentation to acetate IV	Degradation
PWY-5485	pyruvate fermentation to acetate IV	Super-Pathways
PWY-5486	pyruvate fermentation to ethanol II	Energy-Metabolism
PWY-5487	4-nitrophenol degradation I	Degradation
PWY-5488	4-nitrophenol degradation II	Degradation
PWY-5489	methyl parathion degradation	Degradation
PWY-5490	paraoxon degradation	Degradation
PWY-5491	diethylphosphate degradation	Degradation
PWY-5493	reductive monocarboxylic acid cycle	Degradation
PWY-5494	pyruvate fermentation to propanoate II (acrylate pathway)	Energy-Metabolism
PWY-5497	purine nucleobases degradation II (anaerobic)	Degradation
PWY-5497	purine nucleobases degradation II (anaerobic)	Energy-Metabolism
PWY-5499	vitamin B6 degradation I	Degradation
PWY-5505	L-glutamate and L-glutamine biosynthesis	Metabolic-Clusters
PWY-5505	L-glutamate and L-glutamine biosynthesis	Super-Pathways
PWY-5505	L-glutamate and L-glutamine biosynthesis	Biosynthesis
PWY-5506	methanol oxidation to formaldehyde IV	Degradation
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)	Super-Pathways
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)	Biosynthesis
PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	Biosynthesis
PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I	Biosynthesis
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	Biosynthesis
PWY-5515	L-arabinose degradation II	Degradation
PWY-5516	D-xylose degradation II	Degradation
PWY-5517	L-arabinose degradation III	Degradation
PWY-5519	D-arabinose degradation III	Degradation
PWY-5521	L-ascorbate biosynthesis III (D-sorbitol pathway)	Biosynthesis
PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic)	Biosynthesis
PWY-5525	D-glucuronate degradation I	Degradation
PWY-5526	bacteriochlorophyll a biosynthesis	Biosynthesis
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	Super-Pathways
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	Biosynthesis
PWY-5530	sorbitol biosynthesis II	Biosynthesis
PWY-5531	3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	Biosynthesis
PWY-5532	nucleoside and nucleotide degradation (archaea)	Degradation
PWY-5533	acetone degradation II (to acetoacetate)	Degradation
PWY-5534	propene degradation	Degradation
PWY-5535	acetate and ATP formation from acetyl-CoA II	Degradation
PWY-5536	acetate formation from acetyl-CoA (succinate)	Degradation
PWY-5537	pyruvate fermentation to acetate V	Degradation
PWY-5537	pyruvate fermentation to acetate V	Super-Pathways
PWY-5538	pyruvate fermentation to acetate VI	Degradation
PWY-5538	pyruvate fermentation to acetate VI	Super-Pathways
PWY-5600	pyruvate fermentation to acetate VII	Degradation
PWY-5600	pyruvate fermentation to acetate VII	Super-Pathways
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	Super-Pathways
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	Energy-Metabolism
PWY-5629	isopenicillin N biosynthesis	Biosynthesis
PWY-5630	penicillin K biosynthesis	Biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis	Biosynthesis
PWY-5632	cephalosporin C biosynthesis	Biosynthesis
PWY-5633	cephamycin C biosynthesis	Biosynthesis
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis	Super-Pathways
PWY-5634	superpathway of penicillin, cephalosporin and cephamycin biosynthesis	Biosynthesis
PWY-5636	2-nitrophenol degradation	Degradation
PWY-5637	nitrobenzene degradation I	Degradation
PWY-5640	nitrobenzene degradation II	Degradation
PWY-5641	2-nitrotoluene degradation	Degradation
PWY-5642	2,4-dinitrotoluene degradation	Degradation
PWY-5643	2,6-dinitrotoluene degradation	Degradation
PWY-5644	4-nitrotoluene degradation II	Degradation
PWY-5645	4-chloronitrobenzene degradation	Degradation
PWY-5647	2-nitrobenzoate degradation I	Degradation
PWY-5647	2-nitrobenzoate degradation I	Super-Pathways
PWY-5648	2-nitrobenzoate degradation II	Degradation
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	Degradation
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	Degradation
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	Biosynthesis
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	Degradation
PWY-5655	L-tryptophan degradation IX	Degradation
PWY-5655	L-tryptophan degradation IX	Super-Pathways
PWY-5656	mannosylglycerate biosynthesis I	Biosynthesis
PWY-5658	mannosylglycerate biosynthesis II	Biosynthesis
PWY-5659	GDP-mannose biosynthesis	Biosynthesis
PWY-5660	taxol biosynthesis	Biosynthesis
PWY-5661	GDP-&alpha;-D-glucose biosynthesis	Biosynthesis
PWY-5662	glucosylglycerate biosynthesis I	Biosynthesis
PWY-5663	erythro-tetrahydrobiopterin biosynthesis I	Biosynthesis
PWY-5665	vanillin biosynthesis I	Biosynthesis
PWY-5666	&alpha;-solanine/&alpha;-chaconine biosynthesis	Biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I	Biosynthesis
PWY-5668	cardiolipin biosynthesis I	Biosynthesis
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	Biosynthesis
PWY-5670	epoxysqualene biosynthesis	Biosynthesis
PWY-5672	ginsenosides biosynthesis	Biosynthesis
PWY-5674	nitrate reduction IV (dissimilatory)	Degradation
PWY-5674	nitrate reduction IV (dissimilatory)	Energy-Metabolism
PWY-5675	nitrate reduction V (assimilatory)	Degradation
PWY-5676	acetyl-CoA fermentation to butanoate	Super-Pathways
PWY-5676	acetyl-CoA fermentation to butanoate	Energy-Metabolism
PWY-5677	succinate fermentation to butanoate	Energy-Metabolism
PWY-5679	clavulanate biosynthesis	Biosynthesis
PWY-5686	UMP biosynthesis I	Biosynthesis
PWY-5690	TCA cycle II (plants and fungi)	Energy-Metabolism
PWY-5691	urate conversion to allantoin I	Degradation
PWY-5692	allantoin degradation to glyoxylate II	Degradation
PWY-5692	allantoin degradation to glyoxylate II	Super-Pathways
PWY-5694	allantoin degradation to glyoxylate I	Degradation
PWY-5694	allantoin degradation to glyoxylate I	Super-Pathways
PWY-5695	inosine 5'-phosphate degradation	Degradation
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	Degradation
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	Degradation
PWY-5701	shikonin biosynthesis	Biosynthesis
PWY-5703	urea degradation I	Degradation
PWY-5704	urea degradation II	Degradation
PWY-5705	allantoin degradation to glyoxylate III	Degradation
PWY-5705	allantoin degradation to glyoxylate III	Super-Pathways
PWY-5706	alliin metabolism	Biosynthesis
PWY-5707	propanethial S-oxide biosynthesis	Biosynthesis
PWY-5708	ethiin metabolism	Biosynthesis
PWY-5710	capsaicin biosynthesis	Biosynthesis
PWY-5717	superpathway of formononetin derivative biosynthesis	Super-Pathways
PWY-5723	Rubisco shunt	Energy-Metabolism
PWY-5724	superpathway of atrazine degradation	Degradation
PWY-5724	superpathway of atrazine degradation	Super-Pathways
PWY-5725	farnesene biosynthesis	Biosynthesis
PWY-5726	deethylsimazine degradation	Degradation
PWY-5727	atrazine degradation II	Degradation
PWY-5729	vestitol and sativan biosynthesis	Biosynthesis
PWY-5731	atrazine degradation III	Degradation
PWY-5733	germacrene biosynthesis	Biosynthesis
PWY-5736	isopropylamine degradation	Degradation
PWY-5737	(5R)-carbapenem carboxylate biosynthesis	Biosynthesis
PWY-5738	GDP-6-deoxy-D-talose biosynthesis	Biosynthesis
PWY-5739	GDP-D-perosamine biosynthesis	Biosynthesis
PWY-5740	GDP-L-colitose biosynthesis	Biosynthesis
PWY-5741	ethylmalonyl-CoA pathway	Energy-Metabolism
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)	Degradation
PWY-5743	3-hydroxypropanoate cycle	Degradation
PWY-5744	glyoxylate assimilation	Degradation
PWY-5747	2-methylcitrate cycle II	Degradation
PWY-5748	&gamma;-coniciene and coniine biosynthesis	Biosynthesis
PWY-5749	itaconate degradation	Degradation
PWY-5750	itaconate biosynthesis I	Biosynthesis
PWY-5751	phenylethanol biosynthesis	Biosynthesis
PWY-5752	piperine biosynthesis	Biosynthesis
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	Biosynthesis
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)	Biosynthesis
PWY-5756	saponin biosynthesis II	Biosynthesis
PWY-5757	fosfomycin biosynthesis	Biosynthesis
PWY-5759	saponin biosynthesis III	Biosynthesis
PWY-5760	&beta;-alanine biosynthesis IV	Biosynthesis
PWY-5765	1,3,5-trimethoxybenzene biosynthesis	Biosynthesis
PWY-5766	L-glutamate degradation X	Degradation
PWY-5768	pyruvate fermentation to acetate VIII	Degradation
PWY-5770	phenazine-1-carboxylate biosynthesis	Biosynthesis
PWY-5773	gossypol biosynthesis	Biosynthesis
PWY-5774	saponin biosynthesis IV	Biosynthesis
PWY-5775	rotenoid biosynthesis I	Biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis	Biosynthesis
PWY-5780	hypericin biosynthesis	Biosynthesis
PWY-5782	2-keto-L-gulonate biosynthesis	Biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5784	indole-3-acetate inactivation VIII	Activation-Inactivation-Interconversion
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis	Biosynthesis
PWY-5787	oligomeric urushiol biosynthesis	Biosynthesis
PWY-5788	indole-3-acetate inactivation V	Activation-Inactivation-Interconversion
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle	Degradation
PWY-5793	maysin biosynthesis	Biosynthesis
PWY-5794	malonate degradation I (biotin-independent)	Degradation
PWY-5795	juglone biosynthesis	Biosynthesis
PWY-5796	malonate decarboxylase activation	Biosynthesis
PWY-5797	indole-3-acetate inactivation VI	Activation-Inactivation-Interconversion
PWY-5800	xylan biosynthesis	Biosynthesis
PWY-5801	lawsone biosynthesis	Biosynthesis
PWY-5802	alizarin biosynthesis	Biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I	Biosynthesis
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis	Biosynthesis
PWY-581	indole-3-acetate biosynthesis II	Biosynthesis
PWY-5811	indole-3-acetate inactivation VII	Activation-Inactivation-Interconversion
PWY-5813	bornyl diphosphate biosynthesis	Biosynthesis
PWY-5815	rubber biosynthesis	Biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5817	dodecaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5818	validamycin biosynthesis	Biosynthesis
PWY-5821	dalcochinin biosynthesis	Biosynthesis
PWY-5822	trichloroethene degradation	Degradation
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	Super-Pathways
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	Biosynthesis
PWY-5825	dalpatein and dalnigrein biosynthesis	Biosynthesis
PWY-5826	hypoglycin biosynthesis	Biosynthesis
PWY-5827	heliocides biosynthesis	Biosynthesis
PWY-5828	lacinilene C biosynthesis	Biosynthesis
PWY-5829	geraniol and geranial biosynthesis	Biosynthesis
PWY-5830	CDP-ascarylose biosynthesis	Biosynthesis
PWY-5831	CDP-abequose biosynthesis	Biosynthesis
PWY-5832	CDP-paratose biosynthesis	Biosynthesis
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	Biosynthesis
PWY-5834	CDP-tyvelose biosynthesis	Biosynthesis
PWY-5835	geranyl acetate biosynthesis	Biosynthesis
PWY-5835	geranyl acetate biosynthesis	Activation-Inactivation-Interconversion
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	Biosynthesis
PWY-5838	superpathway of menaquinol-8 biosynthesis I	Super-Pathways
PWY-5838	superpathway of menaquinol-8 biosynthesis I	Biosynthesis
PWY-5839	menaquinol-7 biosynthesis	Biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis	Super-Pathways
PWY-5840	superpathway of menaquinol-7 biosynthesis	Biosynthesis
PWY-5843	cocaine biosynthesis	Biosynthesis
PWY-5844	menaquinol-9 biosynthesis	Biosynthesis
PWY-5845	superpathway of menaquinol-9 biosynthesis	Super-Pathways
PWY-5845	superpathway of menaquinol-9 biosynthesis	Biosynthesis
PWY-5846	colchicine biosynthesis	Biosynthesis
PWY-5848	cinchona alkaloids biosynthesis	Biosynthesis
PWY-5849	menaquinol-6 biosynthesis	Biosynthesis
PWY-5850	superpathway of menaquinol-6 biosynthesis	Super-Pathways
PWY-5850	superpathway of menaquinol-6 biosynthesis	Biosynthesis
PWY-5851	demethylmenaquinol-9 biosynthesis	Biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I	Biosynthesis
PWY-5853	demethylmenaquinol-6 biosynthesis I	Biosynthesis
PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation)	Biosynthesis
PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation)	Biosynthesis
PWY-5857	ubiquinol-10 biosynthesis (early decarboxylation)	Biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis	Biosynthesis
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	Super-Pathways
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	Biosynthesis
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I	Super-Pathways
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I	Biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	Super-Pathways
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	Biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis	Super-Pathways
PWY-5863	superpathway of phylloquinol biosynthesis	Biosynthesis
PWY-5864	superpathway of plastoquinol biosynthesis	Super-Pathways
PWY-5864	superpathway of plastoquinol biosynthesis	Biosynthesis
PWY-5867	t-anethole biosynthesis	Biosynthesis
PWY-5870	ubiquinol-8 biosynthesis (late decarboxylation)	Biosynthesis
PWY-5871	ubiquinol-9 biosynthesis (late decarboxylation)	Biosynthesis
PWY-5872	ubiquinol-10 biosynthesis (late decarboxylation)	Biosynthesis
PWY-5873	ubiquinol-7 biosynthesis (late decarboxylation)	Biosynthesis
PWY-5874	heme degradation I	Degradation
PWY-5875	staphyloxanthin biosynthesis	Biosynthesis
PWY-5876	magnoflorine biosynthesis	Biosynthesis
PWY-5877	beta-carboline biosynthesis	Biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis	Biosynthesis
PWY-5883	ephedrine biosynthesis	Biosynthesis
PWY-5884	wax esters biosynthesis I	Biosynthesis
PWY-5885	wax esters biosynthesis II	Biosynthesis
PWY-5886	3-(4-hydroxyphenyl)pyruvate biosynthesis	Biosynthesis
PWY-5887	albaflavenone biosynthesis	Biosynthesis
PWY-5888	rhodoquinone-10 biosynthesis	Biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis	Biosynthesis
PWY-5890	menaquinol-10 biosynthesis	Biosynthesis
PWY-5891	menaquinol-11 biosynthesis	Biosynthesis
PWY-5892	menaquinol-12 biosynthesis	Biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis	Biosynthesis
PWY-5895	menaquinol-13 biosynthesis	Biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis	Super-Pathways
PWY-5896	superpathway of menaquinol-10 biosynthesis	Biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis	Super-Pathways
PWY-5897	superpathway of menaquinol-11 biosynthesis	Biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis	Super-Pathways
PWY-5898	superpathway of menaquinol-12 biosynthesis	Biosynthesis
PWY-5899	superpathway of menaquinol-13 biosynthesis	Super-Pathways
PWY-5899	superpathway of menaquinol-13 biosynthesis	Biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis	Biosynthesis
PWY-5903	bacillibactin biosynthesis	Super-Pathways
PWY-5903	bacillibactin biosynthesis	Biosynthesis
PWY-5905	hypusine biosynthesis	Biosynthesis
